id,title,genres,imdb_id,tmdb_id,year
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,0114709,862,1995
2,Jumanji,Adventure|Children|Fantasy,0113497,8844,1995
3,Grumpier Old Men,Comedy|Romance,0113228,15602,1995
4,Waiting to Exhale,Comedy|Drama|Romance,0114885,31357,1995
5,Father of the Bride Part II,Comedy,0113041,11862,1995
6,Heat,Action|Crime|Thriller,0113277,949,1995
7,Sabrina,Comedy|Romance,0114319,11860,1995
8,Tom and Huck,Adventure|Children,0112302,45325,1995
9,Sudden Death,Action,0114576,9091,1995
10,GoldenEye,Action|Adventure|Thriller,0113189,710,1995
11,"American President, The",Comedy|Drama|Romance,0112346,9087,1995
12,Dracula: Dead and Loving It,Comedy|Horror,0112896,12110,1995
13,Balto,Adventure|Animation|Children,0112453,21032,1995
14,Nixon,Drama,0113987,10858,1995
15,Cutthroat Island,Action|Adventure|Romance,0112760,1408,1995
16,Casino,Crime|Drama,0112641,524,1995
17,Sense and Sensibility,Drama|Romance,0114388,4584,1995
18,Four Rooms,Comedy,0113101,5,1995
19,Ace Ventura: When Nature Calls,Comedy,0112281,9273,1995
20,Money Train,Action|Comedy|Crime|Drama|Thriller,0113845,11517,1995
21,Get Shorty,Comedy|Crime|Thriller,0113161,8012,1995
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,0112722,1710,1995
23,Assassins,Action|Crime|Thriller,0112401,9691,1995
24,Powder,Drama|Sci-Fi,0114168,12665,1995
25,Leaving Las Vegas,Drama|Romance,0113627,451,1995
26,Othello,Drama,0114057,16420,1995
27,Now and Then,Children|Drama,0114011,9263,1995
28,Persuasion,Drama|Romance,0114117,17015,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0112682,902,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,0115012,37557,1995
31,Dangerous Minds,Drama,0112792,9909,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,0114746,63,1995
34,Babe,Children|Drama,0112431,9598,1995
36,Dead Man Walking,Crime|Drama,0112818,687,1995
38,It Takes Two,Children|Comedy,0113442,33689,1995
39,Clueless,Comedy|Romance,0112697,9603,1995
40,"Cry, the Beloved Country",Drama,0112749,34615,1995
41,Richard III,Drama|War,0114279,31174,1995
42,Dead Presidents,Action|Crime|Drama,0112819,11443,1995
43,Restoration,Drama,0114272,35196,1995
44,Mortal Kombat,Action|Adventure|Fantasy,0113855,9312,1995
45,To Die For,Comedy|Drama|Thriller,0114681,577,1995
46,How to Make an American Quilt,Drama|Romance,0113347,11861,1995
47,Seven (a.k.a. Se7en),Mystery|Thriller,0114369,807,1995
48,Pocahontas,Animation|Children|Drama|Musical|Romance,0114148,10530,1995
49,When Night Is Falling,Drama|Romance,0114916,8391,1995
50,"Usual Suspects, The",Crime|Mystery|Thriller,0114814,629,1995
52,Mighty Aphrodite,Comedy|Drama|Romance,0113819,11448,1995
53,Lamerica,Adventure|Drama,0110299,49133,1994
54,"Big Green, The",Children|Comedy,0112499,26441,1995
55,Georgia,Drama,0113158,97406,1995
57,Home for the Holidays,Drama,0113321,9089,1995
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,0110877,11010,1994
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,0113419,11359,1995
61,Eye for an Eye,Drama|Thriller,0116260,17182,1996
62,Mr. Holland's Opus,Drama,0113862,2054,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,0116126,10607,1996
64,Two if by Sea,Comedy|Romance,0118002,19760,1996
65,Bio-Dome,Comedy,0115683,9536,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,0116839,11525,1996
68,French Twist (Gazon maudit),Comedy|Romance,0113149,4482,1995
69,Friday,Comedy,0113118,10634,1995
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,0116367,755,1996
71,Fair Game,Action,0113010,11859,1995
72,Kicking and Screaming,Comedy|Drama,0113537,28387,1995
73,"Misérables, Les",Drama|War,0113828,48750,1995
74,Bed of Roses,Drama|Romance,0115644,20927,1996
75,Big Bully,Comedy|Drama,0115676,36929,1996
76,Screamers,Action|Sci-Fi|Thriller,0114367,9102,1995
77,Nico Icon,Documentary,0113973,124626,1995
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,0112744,27526,1995
79,"Juror, The",Drama|Thriller,0116731,9623,1996
80,"White Balloon, The (Badkonake sefid)",Children|Drama,0112445,46785,1995
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,0114660,400,1995
82,Antonia's Line (Antonia),Comedy|Drama,0112379,880,1995
83,Once Upon a Time... When We Were Colored,Drama|Romance,0114039,146599,1995
85,Angels and Insects,Drama|Romance,0112365,8447,1995
86,White Squall,Action|Adventure|Drama,0118158,10534,1996
87,Dunston Checks In,Children|Comedy,0116151,17414,1996
88,Black Sheep,Comedy,0115697,13997,1996
89,Nick of Time,Action|Thriller,0113972,2086,1995
92,Mary Reilly,Drama|Horror|Thriller,0117002,9095,1996
93,Vampire in Brooklyn,Comedy|Horror|Romance,0114825,12158,1995
94,Beautiful Girls,Comedy|Drama|Romance,0115639,9283,1996
95,Broken Arrow,Action|Adventure|Thriller,0115759,9208,1996
96,In the Bleak Midwinter,Comedy|Drama,0113403,40154,1995
97,"Hate (Haine, La)",Crime|Drama,0113247,406,1995
99,Heidi Fleiss: Hollywood Madam,Documentary,0113283,63076,1995
100,City Hall,Drama|Thriller,0115907,11062,1996
